MetricSet	SymbolName	ShortName	Group	LongName
McRequests	McReqGTCount	McReqGTCount	Memory Controller	Number of Memory Controller accesses issued by GT
McRequests	McReqIACount	McReqIACount	Memory Controller	Number of Memory Controller accesses issued by IA
McRequests	McReqIOCount	McReqIOCount	Memory Controller	Number of Memory Controller accesses issued by IO
EdramTraffic	ReadEdramHits	Read EDRAM hit count	EDRAM	Number of GT EDRAM read hits.
EdramTraffic	ReadEdramMisses	Read EDRAM miss count	EDRAM	Number of GT EDRAM read misses.
EdramTraffic	PtlWriteEdramHits	Partial write EDRAM hit count	EDRAM	Number of GT EDRAM partials write hits.
EdramTraffic	PtlWriteEdramMisses	Partial write EDRAM miss count	EDRAM	Number of GT EDRAM partials write misses.
EdramTraffic	WriteEdramHits	Write EDRAM hit count	EDRAM	Number of GT EDRAM write hits.
EdramTraffic	WriteEdramMisses	Write EDRAM miss count	EDRAM	Number of GT EDRAM write misses.
PipelineStats	IAVertices	Input vertices	3D Pipe/Input Assembler	The total number of vertices that entered the 3D Pipeline.
PipelineStats	IAPrimitives	Input primitives	3D Pipe/Input Assembler	The total number of rendering primitives assembled and put into the input assembly stage of the 3D Pipeline.
PipelineStats	VsInvocations	VS per vertex invocations	3D Pipe/Vertex Shader	The total number of times a vertex shader was invoked. 3D rendering invokes the vertex shader once per vertex.
PipelineStats	HsInvocations	HS invocations	3D Pipe/Hull Shader	The total number of times a hull shader was invoked.
PipelineStats	DsInvocations	DS invocations	3D Pipe/Domain Shader	The total number of times a domain shader was invoked.
PipelineStats	GsInvocations	GS per triangle invocations	3D Pipe/Geometry Shader	The total number of times a geometry shader was invoked per triangle.
PipelineStats	GsPrimitives	Post-GS primitives	3D Pipe/Geometry Shader	The total number of primitives that flowed through from GS to the clipper if GS was enabled.
PipelineStats	ClipperInvocations	Clipper invocations	3D Pipe/Clipper	The total number of primitives sent to the Clipper.
PipelineStats	ClipperPrimitives	Clipper primitives	3D Pipe/Clipper	The total number of primitives that flowed out of the Clipper.
PipelineStats	PsInvocations	PS invocations	3D Pipe/Pixel Shader	The total number of times a pixel shader was invoked. 3D rendering invokes a pixel shader once per pixel or subsample.
PipelineStats	CsInvocations	CS invocations	3D Pipe/Compute Shader	The total number of times a compute shader was invoked.
PipelineStats	CpsInvocations	CPS invocations	3D Pipe/Compute Shader	The total number of times a coarse shader was invoked.
RenderBasic	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
RenderBasic	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
RenderBasic	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
RenderBasic	VsThreads	VS Threads Dispatched	EU Array/Vertex Shader	The total number of vertex shader hardware threads dispatched.
RenderBasic	HsThreads	HS Threads Dispatched	EU Array/Hull Shader	The total number of hull shader hardware threads dispatched.
RenderBasic	DsThreads	DS Threads Dispatched	EU Array/Domain Shader	The total number of domain shader hardware threads dispatched.
RenderBasic	GsThreads	GS Threads Dispatched	EU Array/Geometry Shader	The total number of geometry shader hardware threads dispatched.
RenderBasic	PsThreads	PS Threads Dispatched	EU Array/Pixel Shader	The total number of pixel shader hardware threads dispatched.
RenderBasic	CsThreads	CS Threads Dispatched	EU Array/Compute Shader	The total number of compute shader hardware threads dispatched.
RenderBasic	GpuBusy	GPU Busy	GPU	The percentage of time in which the GPU has been processing GPU commands.
RenderBasic	EuActive	EU Active	EU Array	The percentage of time in which the Execution Units were actively processing.
RenderBasic	EuStall	EU Stall	EU Array	The percentage of time in which the Execution Units were stalled.
RenderBasic	EuFpuBothActive	EU Both FPU Pipes Active	EU Array/Pipes	The percentage of time in which both EU FPU pipelines were actively processing.
RenderBasic	VsFpu0Active	VS FPU0 Pipe Active	EU Array/Vertex Shader	The percentage of time in which EU FPU0 pipeline was actively processing a vertex shader instruction.
RenderBasic	VsFpu1Active	VS FPU1 Pipe Active	EU Array/Vertex Shader	The percentage of time in which EU FPU1 pipeline was actively processing a vertex shader instruction.
RenderBasic	VsSendActive	VS Send Pipe Active	EU Array/Vertex Shader	The percentage of time in which EU send pipeline was actively processing a vertex shader instruction.
RenderBasic	PsFpu0Active	PS FPU0 Pipe Active	EU Array/Pixel Shader	The percentage of time in which EU FPU0 pipeline was actively processing a pixel shader instruction.
RenderBasic	PsFpu1Active	PS FPU1 Pipe Active	EU Array/Pixel Shader	The percentage of time in which EU FPU1 pipeline was actively processing a pixel shader instruction.
RenderBasic	PsSendActive	PS Send Pipeline Active	EU Array/Pixel Shader	The percentage of time in which EU send pipeline was actively processing a pixel shader instruction.
RenderBasic	Sampler00Busy	Sampler00 Busy	Sampler	The percentage of time in which Slice0 Sampler0 has been processing EU requests.
RenderBasic	SamplersBusy	Samplers Busy	Sampler	The percentage of time in which samplers have been processing EU requests.
RenderBasic	Sampler00Bottleneck	Sampler00 Bottleneck	Sampler	The percentage of time in which Slice0 Sampler0 has been slowing down the pipe when processing EU requests.
RenderBasic	RasterizedPixels	Rasterized Pixels	3D Pipe/Rasterizer	The total number of rasterized pixels.
RenderBasic	HiDepthTestFails	Early Hi-Depth Test Fails	3D Pipe/Rasterizer/Hi-Depth Test	The total number of pixels dropped on early hierarchical depth test.
RenderBasic	EarlyDepthTestFails	Early Depth Test Fails	3D Pipe/Rasterizer/Early Depth Test	The total number of pixels dropped on early depth test.
RenderBasic	SamplesKilledInPs	Samples Killed in PS	3D Pipe/Pixel Shader	The total number of samples or pixels dropped in pixel shaders.
RenderBasic	PixelsFailingPostPsTests	Pixels Failing Tests	3D Pipe/Output Merger	The total number of pixels dropped on post-PS alpha, stencil, or depth tests.
RenderBasic	SamplesWritten	Samples Written	3D Pipe/Output Merger	The total number of samples or pixels written to all render targets.
RenderBasic	SamplesBlended	Samples Blended	3D Pipe/Output Merger	The total number of blended samples or pixels written to all render targets.
RenderBasic	SamplerTexels	Sampler Texels	Sampler/Sampler Input	The total number of texels seen on input (with 2x2 accuracy) in all sampler units.
RenderBasic	SamplerTexelMisses	Sampler Texels Misses	Sampler/Sampler Cache	The total number of texels lookups (with 2x2 accuracy) that missed L1 sampler cache.
RenderBasic	SamplerL1Misses	Sampler Cache Misses	Sampler/Sampler Cache	The total number of sampler cache misses in all LODs in all sampler units.
RenderBasic	SlmBytesRead	SLM Bytes Read	L3/Data Port/SLM	The total number of GPU memory bytes read from shared local memory.
RenderBasic	SlmBytesWritten	SLM Bytes Written	L3/Data Port/SLM	The total number of GPU memory bytes written into shared local memory.
RenderBasic	ShaderMemoryAccesses	Shader Memory Accesses	L3/Data Port	The total number of shader memory accesses to L3.
RenderBasic	ShaderAtomics	Shader Atomic Memory Accesses	L3/Data Port/Atomics	The total number of shader atomic memory accesses.
RenderBasic	L3ShaderThroughput	L3 Shader Throughput	L3/Data Port	The total number of GPU memory bytes transferred between shaders and L3 caches w/o URB.
RenderBasic	ShaderBarriers	Shader Barrier Messages	EU Array/Barrier	The total number of shader barrier messages.
RenderBasic	GtiReadThroughput	GTI Read Throughput	GTI	The total number of GPU memory bytes read from GTI.
RenderBasic	GtiWriteThroughput	GTI Write Throughput	GTI	The total number of GPU memory bytes written to GTI.
RenderBasic	SamplerBottleneck	Samplers Bottleneck	Sampler	The percentage of time in which samplers have been slowing down the pipe when processing EU requests.
ComputeBasic	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
ComputeBasic	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
ComputeBasic	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
ComputeBasic	GpuBusy	GPU Busy	GPU	The percentage of time in which the GPU has been processing GPU commands.
ComputeBasic	VsThreads	VS Threads Dispatched	EU Array/Vertex Shader	The total number of vertex shader hardware threads dispatched.
ComputeBasic	HsThreads	HS Threads Dispatched	EU Array/Hull Shader	The total number of hull shader hardware threads dispatched.
ComputeBasic	DsThreads	DS Threads Dispatched	EU Array/Domain Shader	The total number of domain shader hardware threads dispatched.
ComputeBasic	GsThreads	GS Threads Dispatched	EU Array/Geometry Shader	The total number of geometry shader hardware threads dispatched.
ComputeBasic	PsThreads	PS Threads Dispatched	EU Array/Pixel Shader	The total number of pixel shader hardware threads dispatched.
ComputeBasic	CsThreads	CS Threads Dispatched	EU Array/Compute Shader	The total number of compute shader hardware threads dispatched.
ComputeBasic	EuActive	EU Active	EU Array	The percentage of time in which the Execution Units were actively processing.
ComputeBasic	EuStall	EU Stall	EU Array	The percentage of time in which the Execution Units were stalled.
