MetricSet	SymbolName	ShortName	Group	LongName
ComputeBasic	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
ComputeBasic	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
ComputeBasic	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
ComputeBasic	L3_BYTE_READ	L3 Byte Read	L3Cache	Number of bytes read from L3
ComputeBasic	L3_BYTE_WRITE	L3 Byte Write	L3Cache	Number of bytes written to L3
ComputeBasic	GPU_MEMORY_BYTE_READ	GPU Memory Byte Read	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
ComputeBasic	GPU_MEMORY_BYTE_WRITE	GPU Memory Byte Write	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) write bytes
ComputeBasic	XVE_ACTIVE	XVE Active	VectorEngine	Percentage of time in which at least one pipe is active in XVE
ComputeBasic	XVE_STALL	XVE Stall	VectorEngine	Percentage of time in which any threads are loaded but not even a single pipe is active in XVE
ComputeBasic	XVE_BUSY	XVE Busy	VectorEngine	Any XVE thread loaded.
ComputeBasic	XVE_THREADS_OCCUPANCY_ALL	XVE Threads Occupancy All	VectorEngine	Percentage of thread slots occupied
ComputeBasic	XVE_COMPUTE_THREAD_COUNT	XVE Compute Thread Count	VectorEngine	Number of compute shader hardware threads dispatched
ComputeBasic	XVE_ATOMIC_ACCESS_COUNT	XVE Atomic Access Count	VectorEngine	Number of shader atomic memory accesses
ComputeBasic	XVE_BARRIER_MESSAGE_COUNT	XVE Barrier Message Count	VectorEngine	Number of shader barrier messages
ComputeBasic	XVE_INST_EXECUTED_ALU0_ALL	XVE Inst Executed ALU0 All	VectorEngine	Number of execution slots taken by instructions executed on ALU0 pipe
ComputeBasic	XVE_INST_EXECUTED_ALU1_ALL	XVE Inst Executed ALU1 All	VectorEngine	Number of execution slots taken by instructions executed on ALU1 pipe
ComputeBasic	XVE_INST_EXECUTED_XMX_ALL	XVE Inst Executed XMX All	VectorEngine	Number of execution slots taken by instructions executed on XMX pipe
ComputeBasic	XVE_INST_EXECUTED_SEND_ALL	XVE Inst Executed Send All	VectorEngine	Number of instructions executed on SEND pipe
ComputeBasic	XVE_INST_EXECUTED_CONTROL_ALL	XVE Inst Executed Control All	VectorEngine	Number of instructions executed on Jump Pipe
ComputeBasic	XVE_PIPE_ALU0_AND_ALU1_ACTIVE	XVE Pipe ALU0 And ALU1 Active	VectorEngine	Percentage of time in which ALU0 and ALU1 pipes are both actively executing a Gen ISA instruction
ComputeBasic	XVE_PIPE_ALU0_AND_XMX_ACTIVE	XVE_PIPE_ALU0_AND_XMX_ACTIVE	VectorEngine	Percentage of time in which ALU0 and XMX pipes are both actively executing a Gen ISA instruction.
ComputeBasic	XVE_INST_EXECUTED_ALU0_ALL_UTILIZATION	XVE Inst Executed ALU0 All Utilization	VectorEngine	Percentage of execution slots taken by instructions executed on ALU0 pipe
ComputeBasic	XVE_INST_EXECUTED_ALU1_ALL_UTILIZATION	XVE Inst Executed ALU1 All Utilization	VectorEngine	Percentage of execution slots taken by instructions executed on ALU1 pipe
ComputeBasic	XVE_INST_EXECUTED_SEND_ALL_UTILIZATION	XVE Inst Executed Send All Utilization	VectorEngine	Percentage of time taken by instructions executed on SEND pipe
ComputeBasic	XVE_INST_EXECUTED_CONTROL_ALL_UTILIZATION	XVE Inst Executed Control All Utilization	VectorEngine	Percentage of time taken by instructions executed on Jump pipe
ComputeBasic	XVE_INST_EXECUTED_XMX_ALL_UTILIZATION	XVE Inst Executed XMX All Utilization	VectorEngine	Percentage of execution slots taken by instructions executed on XMX pipe
GpuOffload	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
GpuOffload	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
GpuOffload	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
GpuOffload	HOST_TO_GPUMEM_BYTE_READ	Host To GpuMem Byte Read	Memory	Number of bytes read by host from GPU local (HBM) memory (downstream)
GpuOffload	HOST_TO_GPUMEM_BYTE_WRITE	Host To GpuMem Byte Write	Memory	Number of bytes written by host to GPU local (HBM) memory (downstream)
GpuOffload	SYSMEM_BYTE_READ	SysMem Byte Read	Memory	Number of system memory bytes read (upstream)
